*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Lua file	Lua file	Lua fájl	Lua-bestand	Archivo Lua	Dosar Lua	Plik Lua	Soubor Lua	Lua fajl	Arquivo Lua	Ficheiro Lua	Lua fail	Fichier Lua	Fichier Lua	Lua 파일	Lua文件	Lua 文件	Lua датотека	Файл Lua	Lua dosyası	Lua tiedosto	Lua файл	Файл Lua	Lua-Datei	Fitxer Lua	Luafile	Luaファイル	Lua failas	ملف Lua	Lua файлы	Lua fil	Lua file	Lua फ़ाइल	ไฟล์ Lua	berkas Lua	Lua ფაილი	Lua fails	Tệp Lua	Αρχείο Lua	Файл Lua	Súbor Lua	Lua fil	فایل Lua
New document	New document	Új dokumentum	Nieuw document	Nuevo documento	Document nou	Nowy dokument	Nový doklad	Novi dokument	Novo documento	Novo documento	Uus dokument	Nouveau document	Nouveau document	새 문서	新文件	新文件	Нови документ	Новый документ	Yeni belge	Uusi asiakirja	Нов документ	Новий документ	Neues Dokument	Nou document	Nuovo documento	新しい文書	Naujas dokumentas	وثيقة جديدة	Жаңа құжат	Nytt dokument	Bagong dokumento	नया दस्तावेज़	เอกสารใหม่	Dokumen baru	ახალი დოკუმენტი	Jauns dokuments	Tài liệu mới	Νέο έγγραφο	Новы дакумент	Nový doklad	Nytt dokument	سند جدید
Wallpaper Fill	Fill	Kitöltés	Opvullen	Rellenar	Umplere	Wypełnij	Vyplnit	Popuni	Preencher	Preencher	Täida	Remplir	Remplir	채우기	填充	填滿	Попуни	Заполнить	Doldur	Täytä	Запълване	Заповнити	Ausfüllen	Omple	Riempi	塗りつぶし	Užpildyti	تعبئة	Толтыру	Fyll	Punan	भरें	เติมเต็ม	Isi penuh	შევსება	Aizpildīt	Lấp đầy	Γέμισμα	Запоўніць	Vyplniť	Fyll	پر کردن
Wallpaper Fit	Fit	Illesztés	Passend maken	Ajustar	Potrivire	Dopasuj	Přizpůsobit	Prilagodi	Ajustar	Ajustar	Sobita	Ajuster	Ajuster	맞춤	适应	適應	Прилагоди	Вписать	Sığdır	Sovita	Побиране	Вписати	Anpassen	Ajusta	Adatta	画面に合わせる	Pritaikyti	ملاءمة	Сыйғызу	Tilpass	Iangkop	फ़िट करें	พอดีหน้าจอ	Sesuaikan	მორგება	Pielāgot	Vừa màn hình	Προσαρμογή	Упісаць	Prispôsobiť	Anpassa	جا دادن
Wallpaper Stretch	Stretch	Nyújtás	Uitrekken	Estirar	Întindere	Rozciągnij	Roztáhnout	Rastegni	Esticar	Esticar	Venita	Étirer	Étirer	늘이기	拉伸	延展	Растегни	Растянуть	Uzat	Venytä	Разтягане	Розтягнути	Strecken	Estira	Allunga	引き伸ばす	Ištempti	تمديد	Созу	Strekk	Iunat	खींचें	ยืด	Rentangkan	გაწელვა	Izstiept	Kéo giãn	Τέντωμα	Расцягнуць	Roztiahnuť	Sträck ut	کشیدن
Wallpaper Center	Center	Középre	Centreren	Centrar	Centrare	Wyśrodkuj	Na střed	Centriraj	Centralizar	Centrar	Keskele	Centrer	Centrer	가운데	居中	置中	Центрирај	По центру	Ortala	Keskitä	Центриране	У центрі	Zentrieren	Centra	Centra	中央に配置	Centre	توسيط	Ортаға	Midtstill	Igitna	केंद्र में	กึ่งกลาง	Tengahkan	ცენტრში	Centrēt	Căn giữa	Κεντράρισμα	Па цэнтры	Na stred	Centrera	وسط‌چین
Wallpaper Tile	Tile	Mozaik	Tegelen	Mosaico	Mozaic	Kafelki	Dlaždice	Ponavljaj	Lado a lado	Mosaico	Paanidena	Mosaïque	Mosaïque	바둑판식	平铺	並排	Поплочај	Замостить	Döşe	Vierekkäin	Мозайка	Замостити	Kacheln	Mosaic	Affianca	並べて表示	Iškloti	تجانب	Қатарлау	Side ved side	Ulit-ulitin	टाइल	เรียงต่อกัน	Berulang	მოზაიკა	Flīzēt	Lát ảnh	Παράθεση	Замасціць	Dlaždice	Sida vid sida	کاشی‌وار
Select wallpaper	Select wallpaper	Válassza ki a háttérképet	Selecteer achtergrond	Seleccionar fondo de pantalla	Selectați imaginea de fundal	Wybierz tapetę	Vyberte tapetu	Odaberite pozadinu	Selecione papel de parede	Selecione o papel de parede	Valige taustpilt	Choisir un fond d’écran	Choisir un fond d’écran	배경화면 선택	选择壁纸	選擇壁紙	Изаберите позадину	Выбор обоев	Duvar kağıdını seçin	Valitse taustakuva	Изберете тапет	Виберіть шпалери	Hintergrundbild auswählen	Seleccioneu fons de pantalla	Seleziona lo sfondo	壁紙を選択する	Pasirinkite ekrano užsklandą	حدد خلفية الشاشة	Түсқағазды таңдаңыз	Velg bakgrunn	Pumili ng wallpaper	वॉलपेपर चुनें	เลือกวอลเปเปอร์	Pilih kertas dinding	აირჩიეთ ფონი	Izvēlieties fona attēlu	Chọn hình nền	Επιλέξτε ταπετσαρία	Выберыце шпалеры	Vyberte tapetu	Välj bakgrund	کاغذ دیواری را انتخاب کنید
Select image	Select image	Válassza ki a képet	Selecteer afbeelding	Seleccionar imagen	Selectați imaginea	Wybierz obraz	Vyberte obrázek	Odaberite sliku	Selecione a imagem	Selecione a imagem	Valige pilt	Choisir une image	Choisir une image	이미지 선택	选择图像	選擇影像	Изаберите слику	Выбор изображения	Resim seç	Valitse kuva	Изберете изображение	Виберіть зображення	Bild auswählen	Seleccioneu la imatge	Seleziona l'immagine	画像を選択	Pasirinkite vaizdą	اختر الصورة	Суретті таңдаңыз	Velg bilde	Piliin ang larawan	छवि का चयन करें	เลือกรูปภาพ	Pilih gambar	აირჩიეთ სურათი	Izvēlieties attēlu	Chọn hình ảnh	Επιλέξτε εικόνα	Выберыце малюнак	Vyberte obrázok	Välj bild	تصویر را انتخاب کنید
HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD	HD
HD Banner	HD banner	HD banner	HD spandoek	Bandera HD	Banner HD	Baner HD	Banner HD	HD baner	Bandeira HD	Bandeira HD	HD bänner	Bannière HD	Bannière HD	HD 배너	HD 横幅	HD 橫幅	HD банер	Баннер HD	HD banner'ı	HD-banneri	Банер HD	Банер HD	HD-Banner	Bàner HD	Striscione HD	HD バナー	HD baneris	HD راية	HD баннері	HD banner	HD na banner	HD बैनर	แบนเนอร์ HD	Spanduk HD	HD ბანერი	HD baneris	Biểu ngữ HD	Banner HD	Банэр HD	Banner HD	HD banderoll	بنر HD
HD required	Enable HD for this image	Engedélyezze a HD beállítást ehhez a képhez	Schakel HD in voor deze afbeelding	Habilite HD para esta imagen	Activați HD pentru această imagine	Włącz HD dla tego obrazu	Povolte pro tento obrázek HD	Omogućite HD za ovu sliku	Habilite HD para esta imagem	Active HD para esta imagem	Lubage selle pildi jaoks HD	Activez HD pour cette image	Activez HD pour cette image	이 이미지에 HD를 활성화합니다	为此图像启用HD	為此影像啟用HD	Омогућите HD за ову слику	Для этого изображения включите HD	Bu görüntü için HD'yi etkinleştirin	Ota HD käyttöön tässä kuvassa	Активирайте HD за това изображение	Увімкніть HD для цього зображення	Aktivieren Sie HD für dieses Bild	Habiliteu HD per a aquesta imatge	Abilita HD per questa immagine	この画像に対して HD を有効にする	Šiam vaizdui įgalinti HD	تمكين HD لهذه الصورة	Бұл кескін үшін HD қосыңыз	Aktiver HD for dette bildet	Paganahin ang HD para sa larawang ito	इस छवि के लिए HD सक्षम करें	เปิดใช้งาน HD สำหรับภาพนี้	Aktifkan HD untuk gambar ini	ჩართეთ HD ამ სურათისთვის	Šim attēlam iespējojiet HD	Kích hoạt HD cho hình ảnh này	Ενεργοποιήστε το HD για αυτήν την εικόνα	Уключыце HD для гэтага малюнка	Povoľte pre tento obrázok HD	Aktivera HD för denna bild	HD را برای این تصویر فعال کنید
No resolution limit	No resolution limit	Nincs felbontási korlát	Geen resolutielimiet	Sin límite de resolución	Fără limită de rezoluție	Brak limitu rozdzielczości	Bez omezení rozlišení	Nema ograničenja rezolucije	Sem limite de resolução	Sem limite de resolução	Eraldusvõime piirang puudub	Aucune limite de résolution	Aucune limite de résolution	해상도 제한 없음	无分辨率限制	無解析度限制	Нема ограничења резолуције	Без ограничения разрешения	Çözünürlük sınırı yok	Ei resoluutiorajaa	Няма ограничение на разделителната способност	Без обмеження роздільної здатності	Keine Auflösungsbeschränkung	Sense límit de resolució	Nessun limite di risoluzione	解像度制限なし	Nėra skiriamosios gebos apribojimo	لا يوجد حد للدقة	Ажыратымдылық шегі жоқ	Ingen oppløsningsgrense	Walang limitasyon sa resolusyon	कोई रिज़ॉल्यूशन सीमा नहीं	ไม่มีการจำกัดความละเอียด	Tidak ada batasan resolusi	გარჩევადობის ლიმიტი არ არის	Nav izšķirtspējas ierobežojuma	Không giới hạn độ phân giải	Χωρίς όριο ανάλυσης	Без абмежавання дазволу	Bez obmedzenia rozlíšenia	Ingen upplösningsgräns	بدون محدودیت وضوح
Invalid picture	Invalid image	Érvénytelen kép	Ongeldige afbeelding	Imagen no válida	Imagine nevalidă	Nieprawidłowy obraz	Neplatný obrázek	Nevažeća slika	Imagem inválida	Imagem inválida	Vigane pilt	Image non valide	Image non valide	잘못된 이미지	无效图像	無效影像	Неважећа слика	Некорректное изображение	Geçersiz resim	Virheellinen kuva	Невалидно изображение	Недійсне зображення	Ungültiges Bild	Imatge no vàlida	Immagine non valida	無効な画像です	Neteisingas vaizdas	صورة غير صالحة	Сурет жарамсыз	Ugyldig bilde	Di-wastong larawan	अमान्य छवि	รูปภาพไม่ถูกต้อง	Gambar tidak valid	არასწორი სურათი	Nederīgs attēls	Hình ảnh không hợp lệ	Μη έγκυρη εικόνα	Няправільны відарыс	Neplatný obrázok	Ogiltig bild	تصویر نامعتبر است
Save failed	Save failed	A mentés nem sikerült	Opslaan mislukt	Error al guardar	Salvare a eșuat	Zapis nie powiódł się	Uložení se nezdařilo	Snimanje nije uspjelo	Falha ao salvar	Falha ao guardar	Salvestamine ebaõnnestus	Échec de l’enregistrement	Échec de l’enregistrement	저장 실패	保存失败	保存失敗	Чување није успело	Ошибка сохранения	Kaydetme başarısız oldu	Tallennus epäonnistui	Запазването е неуспешно	Не вдалося зберегти	Speichern fehlgeschlagen	No s'ha pogut desar	Salvataggio non riuscito	保存に失敗しました	Įrašyti nepavyko	فشل الحفظ	Сақтау орындалмады	Lagring mislyktes	Nabigo ang pag-save	सहेजना विफल	บันทึกล้มเหลว	Penyimpanan gagal	შენახვა ვერ მოხერხდა	Saglabāt neizdevās	Lưu không thành công	Η αποθήκευση απέτυχε	Збой захавання	Uloženie zlyhalo	Det gick inte att spara	ذخیره نشد
Could not save the file. Check free disk space.	Could not save the file. Check free disk space.	Nem sikerült menteni a fájlt. Ellenőrizze a szabad lemezterületet.	Kan het bestand niet opslaan. Controleer de vrije schijfruimte.	No se pudo guardar el archivo. Verifique el espacio libre en disco.	Nu s-a putut salva fișierul. Verificați spațiul liber pe disc.	Nie można zapisać pliku. Sprawdź wolne miejsce na dysku.	Soubor nelze uložit. Zkontrolujte volné místo na disku.	Nije moguće sačuvati datoteku. Provjerite slobodan prostor na disku.	Não foi possível salvar o arquivo. Verifique o espaço livre em disco.	Não foi possível guardar o ficheiro. Verifique o espaço livre em disco.	Faili ei saanud salvestada. Kontrollige vaba kettaruumi.	Impossible d’enregistrer le fichier. Vérifiez l’espace libre sur le disque.	Impossible d’enregistrer le fichier. Vérifiez l’espace libre sur le disque.	파일을 저장할 수 없습니다. 여유 디스크 공간을 확인하세요.	无法保存文件。检查可用磁盘空间。	無法儲存檔案。檢查可用磁碟空間。	Није могуће сачувати датотеку. Проверите слободан простор на диску.	Не удалось сохранить файл. Проверьте свободное место на диске.	Dosya kaydedilemedi. Boş disk alanını kontrol edin.	Tiedostoa ei voitu tallentaa. Tarkista vapaa levytila.	Файлът не можа да бъде запазен. Проверете свободното дисково пространство.	Не вдалося зберегти файл. Перевірте вільний простір на диску.	Die Datei konnte nicht gespeichert werden. Überprüfen Sie den freien Speicherplatz.	No s'ha pogut desar el fitxer. Comproveu l'espai lliure al disc.	Impossibile salvare il file. Controlla lo spazio libero su disco.	ファイルを保存できませんでした。ディスクの空き容量を確認します。	Nepavyko išsaugoti failo. Patikrinkite laisvą vietą diske.	لا يمكن حفظ الملف. تحقق من مساحة القرص الحرة.	Файлды сақтау мүмкін болмады. Дискідегі бос орынды тексеріңіз.	Kunne ikke lagre filen. Sjekk ledig diskplass.	Hindi ma-save ang file. Suriin ang libreng espasyo sa disk.	फ़ाइल सहेजी नहीं जा सकी. खाली डिस्क स्थान की जाँच करें.	ไม่สามารถบันทึกไฟล์ได้ ตรวจสอบพื้นที่ว่างในดิสก์	Tidak dapat menyimpan berkas. Periksa ruang disk kosong.	ფაილის შენახვა ვერ მოხერხდა. შეამოწმეთ თავისუფალი ადგილი დისკზე.	Nevarēja saglabāt failu. Pārbaudiet brīvo vietu diskā.	Không thể lưu tập tin. Kiểm tra dung lượng đĩa trống.	Δεν ήταν δυνατή η αποθήκευση του αρχείου. Ελέγξτε τον ελεύθερο χώρο στο δίσκο.	Не атрымалася захаваць файл. Праверце вольнае месца на дыску.	Súbor sa nepodarilo uložiť. Skontrolujte voľné miesto na disku.	Kunde inte spara filen. Kontrollera ledigt diskutrymme.	فایل ذخیره نشد. فضای خالی دیسک را بررسی کنید.
Could not create the file.	Could not create the file.	Nem sikerült létrehozni a fájlt.	Kan het bestand niet maken.	No se pudo crear el archivo.	Nu s-a putut crea fișierul.	Nie można utworzyć pliku.	Soubor nelze vytvořit.	Nije moguće kreirati datoteku.	Não foi possível criar o arquivo.	Não foi possível criar o ficheiro.	Faili ei saanud luua.	Impossible de créer le fichier.	Impossible de créer le fichier.	파일을 생성할 수 없습니다.	无法创建文件。	無法建立文件。	Није могуће креирати датотеку.	Не удалось создать файл.	Dosya oluşturulamadı.	Tiedostoa ei voitu luoda.	Файлът не можа да бъде създаден.	Не вдалося створити файл.	Die Datei konnte nicht erstellt werden.	No s'ha pogut crear el fitxer.	Impossibile creare il file.	ファイルを作成できませんでした。	Nepavyko sukurti failo.	تعذر إنشاء الملف.	Файлды жасау мүмкін емес.	Kunne ikke opprette filen.	Hindi magawa ang file.	फ़ाइल नहीं बनाई जा सकी.	ไม่สามารถสร้างไฟล์ได้	Tidak dapat membuat berkas.	ფაილის შექმნა ვერ მოხერხდა.	Nevarēja izveidot failu.	Không thể tạo tập tin.	Δεν ήταν δυνατή η δημιουργία του αρχείου.	Не атрымалася стварыць файл.	Nepodarilo sa vytvoriť súbor.	Det gick inte att skapa filen.	فایل ایجاد نشد.
Could not create the folder.	Could not create the folder.	Nem sikerült létrehozni a mappát.	Kan de map niet maken.	No se pudo crear la carpeta.	Nu s-a putut crea folderul.	Nie można utworzyć folderu.	Nelze vytvořit složku.	Nije moguće kreirati folder.	Não foi possível criar a pasta.	Não foi possível criar a pasta.	Kausta ei saanud luua.	Impossible de créer le dossier.	Impossible de créer le dossier.	폴더를 생성할 수 없습니다.	无法创建文件夹。	無法建立資料夾。	Није могуће креирати фолдер.	Не удалось создать папку.	Klasör oluşturulamadı.	Kansiota ei voitu luoda.	Папката не можа да бъде създадена.	Не вдалося створити папку.	Der Ordner konnte nicht erstellt werden.	No s'ha pogut crear la carpeta.	Impossibile creare la cartella.	フォルダーを作成できませんでした。	Nepavyko sukurti aplanko.	لا يمكن إنشاء المجلد.	Қалтаны жасау мүмкін болмады.	Kunne ikke opprette mappen.	Hindi magawa ang folder.	फ़ोल्डर नहीं बनाया जा सका.	ไม่สามารถสร้างโฟลเดอร์ได้	Tidak dapat membuat folder.	საქაღალდის შექმნა ვერ მოხერხდა.	Nevarēja izveidot mapi.	Không thể tạo thư mục.	Δεν ήταν δυνατή η δημιουργία του φακέλου.	Не атрымалася стварыць папку.	Nepodarilo sa vytvoriť priečinok.	Det gick inte att skapa mappen.	پوشه ایجاد نشد.
Application	Application	Jelentkezés	Toepassing	Solicitud	Cerere	Aplikacja	Přihláška	Aplikacija	Aplicação	Aplicação	Taotlus	Demande	Application	신청	申请	申請	Апликација	Приложение	Uygulama	Sovellus	Приложение	Застосування	Anwendung	Sol·licitud	Applicazione	アプリケーション	Paraiška	التطبيق	Өтініш	Søknad	Aplikasyon	आवेदन	การสมัคร	Aplikasi	განაცხადი	Pieteikums	Ứng dụng	Αίτηση	Дадатак	Aplikácia	Ansökan	کاربرد
Requires {0}	Requires {0}	Szükséges: {0}	Vereist {0}	Requiere {0}	Necesită {0}	Wymaga {0}	Vyžaduje {0}	Zahtijeva {0}	Requer {0}	Requer {0}	Nõuab {0}	Nécessite {0}	Nécessite {0}	{0}이(가) 필요합니다	需要{0}	需要{0}	Захтева {0}	Требуется {0}	{0} gerektirir	Vaatii {0}	Изисква {0}	Потрібно {0}	Erfordert {0}	Requereix {0}	Richiede {0}	{0}が必要です	Reikia {0}	يتطلب {0}	{0} қажет	Krever {0}	Nangangailangan ng {0}	{0} की आवश्यकता है	ต้องการ {0}	Membutuhkan {0}	მოითხოვს {0}	Nepieciešams {0}	Yêu cầu {0}	Απαιτεί {0}	Патрабуецца {0}	Vyžaduje sa {0}	Kräver {0}	نیاز به {0}
Viewer	Image viewer	Képnézegető	Afbeeldingenviewer	Visor de imágenes	Vizualizator de imagini	Przeglądarka zdjęć	Prohlížeč obrázků	Preglednik slika	Visualizador de imagens	Visualizador de imagens	Pildivaatur	Visionneuse d’images	Visionneuse d’images	이미지 뷰어	图像查看器	影像檢視器	Прегледач слика	Просмотр изображений	Resim görüntüleyici	Kuvien katseluohjelma	Преглед на изображения	Переглядач зображень	Bildbetrachter	Visor d'imatges	Visualizzatore di immagini	画像ビューア	Vaizdų peržiūros programa	عارض الصور	Суретті қарау құралы	Bildeviser	Viewer ng imahe	छवि दर्शक	โปรแกรมดูรูปภาพ	Penampil gambar	გამოსახულების მაყურებელი	Attēlu skatītājs	Trình xem ảnh	Προβολή εικόνων	Праграма прагляду малюнкаў	Prehliadač obrázkov	Bildvisare	نمایشگر تصویر
From device	From device	Készülékről	Van apparaat	Desde dispositivo	De la aparat	Z urządzenia	Ze zařízení	Sa uređaja	Do dispositivo	Do dispositivo	Seadmest	Depuis l’appareil	Depuis l’appareil	장치에서	来自装置	來自裝置	Са уређаја	С устройства	Cihazdan	Laitteesta	От уред	З пристрою	Vom Gerät	Des del dispositiu	Dal dispositivo	デバイスから	Iš įrenginio	من الجهاز	Құрылғыдан	Fra enhet	Mula sa device	डिवाइस से	จากอุปกรณ์	Dari perangkat	მოწყობილობიდან	No ierīces	Từ thiết bị	Από συσκευή	З прылады	Zo zariadenia	Från apparat	از دستگاه
Compile settings	Compilation settings	Összeállítási beállítások	Compilatie-instellingen	Configuración de compilación	Setări de compilare	Ustawienia kompilacji	Nastavení kompilace	Postavke kompilacije	Configurações de compilação	Configurações de compilação	Koostamise seaded	Paramètres de compilation	Paramètres de compilation	편집 설정	编译设置	編譯設定	Подешавања компилације	Настройки сборки	Derleme ayarları	Kokoonpanoasetukset	Настройки на компилацията	Параметри компіляції	Kompilierungseinstellungen	Configuració de la compilació	Impostazioni di compilazione	コンパイル設定	Kompiliavimo nustatymai	إعدادات التجميع	Компиляция параметрлері	Kompileringsinnstillinger	Mga setting ng compilation	संकलन सेटिंग्स	การตั้งค่าการรวบรวม	Pengaturan kompilasi	კომპილაციის პარამეტრები	Kompilācijas iestatījumi	Cài đặt biên dịch	Ρυθμίσεις μεταγλώττισης	Налады кампіляцыі	Nastavenia kompilácie	Kompileringsinställningar	تنظیمات کامپایل
Compile	Compile	Összeállít	Compileren	Compilar	Compilează	Skompiluj	Kompilace	Kompajliraj	Compilar	Compilar	Koosta	Compiler	Compiler	컴파일	编译	編譯	Компајлирај	Собрать	Derle	Kokoa	Компилирайте	Скласти	Kompilieren	Compilar	Compila	コンパイル	Sudaryti	ترجمة	Құрастыру	Kompiler	Magtipon	संकलित करें	คอมไพล์	Kompilasi	შედგენა	Sastādīt	Biên dịch	Σύνταξη	Скампіляваць	Zostavte	Sammanställa	تالیف
Select Icon	Select icon	Válassza ki az ikont	Selecteer pictogram	Seleccionar icono	Selectați pictograma	Wybierz ikonę	Vyberte ikonu	Odaberite ikonu	Selecionar ícone	Selecionar ícone	Valige ikoon	Choisir une icône	Choisir une icône	아이콘 선택	选择图标	選擇圖標	Изаберите икону	Выбор значка	Simge seç	Valitse kuvake	Изберете икона	Виберіть значок	Symbol auswählen	Selecciona la icona	Selezionare l'icona	アイコンを選択	Pasirinkite piktogramą	اختر أيقونة	Белгішені таңдаңыз	Velg ikon	Piliin ang icon	आइकन चुनें	เลือกไอคอน	Pilih ikon	აირჩიეთ ხატულა	Izvēlieties ikonu	Biểu tượng chọn	Επιλέξτε το εικονίδιο	Выберыце значок	Vyberte ikonu	Välj ikon	نماد را انتخاب کنید
Output	Output	Kimenet	Uitgang	Salida	Ieșire	Wyjście	Výstup	Izlaz	Saída	Saída	Väljund	Sortie	Sortie	출력	输出	輸出	Излаз	Вывод	Çıkış	Lähtö	Изход	Вихід	Ausgabe	Sortida	Uscita	出力	Išvestis	الإخراج	Шығару	Utgang	Output	आउटपुट	เอาท์พุต	Keluaran	გამომავალი	Izvade	Đầu ra	Έξοδος	Вывад	Výstup	Utgång	خروجی
Lua App	Lua application	Lua pályázat	Lua-applicatie	Aplicación Lua	Aplicatie Lua	Aplikacja Lua	Aplikace Lua	Lua aplikacija	Aplicativo Lua	Aplicação Lua	Lua rakendus	Application Lua	Application Lua	Lua 애플리케이션	Lua申请	Lua申請	Lua апликација	Приложение Lua	Lua uygulaması	Lua-sovellus	Приложение Lua	Додаток Lua	Lua-Anwendung	Aplicació Lua	Applicazione Lua	Luaアプリケーション	Lua paraiška	تطبيق Lua	Lua қолданбасы	Lua søknad	Lua application	Lua आवेदन	แอปพลิเคชั่น Lua	Aplikasi Lua	Lua აპლიკაცია	Lua pieteikums	Ứng dụng Lua	Εφαρμογή Lua	Дадатак Lua	Žiadosť Lua	Lua ansökan	اپلیکیشن Lua
Enter name...	Enter name...	Írja be a nevet...	Naam invoeren...	Introduzca el nombre...	Introduceți numele...	Wpisz nazwę...	Zadejte jméno...	Unesite ime...	Digite o nome...	Introduza o nome...	Sisesta nimi...	Entrez le nom...	Entrez le nom...	이름을 입력하세요...	输入姓名...	輸入姓名...	Унесите име...	Введите название...	Adı girin...	Kirjoita nimi...	Въведете име...	Введіть ім'я...	Namen eingeben...	Introduïu el nom...	Inserisci il nome...	名前を入力してください...	Įveskite vardą...	أدخل الاسم...	Атын енгізіңіз...	Skriv inn navn...	Ilagay ang pangalan...	नाम दर्ज करें...	ใส่ชื่อ...	Masukkan nama...	შეიყვანეთ სახელი...	Ievadiet vārdu...	Nhập tên...	Εισαγάγετε όνομα...	Увядзіце імя...	Zadajte meno...	Ange namn...	نام را وارد کنید...
Enter text...	Enter text...	Írja be a szöveget...	Tekst invoeren...	Introduzca texto...	Introduceți text...	Wpisz tekst...	Zadejte text...	Unesite tekst...	Digite o texto...	Introduza o texto...	Sisestage tekst...	Saisissez le texte...	Saisissez le texte...	텍스트를 입력하세요...	输入文字...	輸入文字...	Унесите текст...	Введите текст...	Metni girin...	Kirjoita teksti...	Въведете текст...	Введіть текст...	Text eingeben...	Introduïu text...	Inserisci il testo...	テキストを入力してください...	Įveskite tekstą...	أدخل النص...	Мәтінді енгізіңіз...	Skriv inn tekst...	Maglagay ng text...	पाठ दर्ज करें...	ใส่ข้อความ...	Masukkan teks...	შეიყვანეთ ტექსტი...	Ievadiet tekstu...	Nhập văn bản...	Εισαγάγετε κείμενο...	Увядзіце тэкст...	Zadajte text...	Skriv in text...	متن را وارد کنید...
Products	Products	Termékek	Producten	Productos	Produse	Produkty	Produkty	Proizvodi	Produtos	Produtos	Tooted	Produits	Produits	제품	产品	產品	Производи	Товары	Ürünler	Tuotteet	Продукти	Продукти	Produkte	Productes	Prodotti	製品	Gaminiai	المنتجات	Өнімдер	Produkter	Mga Produkto	उत्पाद	สินค้า	Produk	პროდუქტები	Produkti	Sản phẩm	Προϊόντα	Прадукты	Produkty	Produkter	محصولات
Checkout	Checkout	Pénztár	Afrekenen	Finalizar compra	Verifică	Kasa	Pokladna	Završi narudžbu	Finalizar compra	Finalizar compra	Kassa	Passer commande	Passer commande	결제	结账	結帳	Заврши наруџбину	Оформление заказа	Ödeme	Kassalle	Каса	Виписка	Kasse	Taxa	Cassa	チェックアウト	Kasa	الخروج	Кассадан шығу	Kasse	Checkout	चेकआउट	ชำระเงิน	Pembayaran	გამოტანა	Izrakstīšanās	Thanh toán	Ταμείο	Каса	Pokladňa	Kassa	تسویه حساب
Build a PC that is uniquely yours.	Build a PC that is uniquely yours.	Építsen egy olyan számítógépet, amely egyedülállóan az Öné.	Bouw een pc die uniek is voor jou.	Construye una PC que sea exclusivamente tuya.	Construiește un PC care să fie unic al tău.	Zbuduj komputer, który będzie wyłącznie Twój.	Sestavte si počítač, který je jedinečně váš.	Napravite PC koji je jedinstveno vaš.	Construa um PC exclusivamente seu.	Construa um PC exclusivamente seu.	Looge arvuti, mis on ainulaadselt teie oma.	Construisez un PC qui est uniquement le vôtre.	Construisez un PC qui est uniquement le vôtre.	당신만의 독특한 PC를 만들어보세요.	打造一台独一无二的个人电脑。	打造一台獨一無二的個人電腦。	Направите ПЦ који је јединствено ваш.	Соберите компьютер в своём стиле.	Benzersiz bir şekilde size ait olan bir bilgisayar oluşturun.	Rakenna PC, joka on ainutlaatuinen sinun.	Създайте компютър, който е уникално ваш.	Створіть персональний комп’ютер, який тільки належить вам.	Bauen Sie einen PC, der einzigartig für Sie ist.	Construeix un ordinador que sigui exclusivament teu.	Costruisci un PC unicamente tuo.	自分だけのPCを作りましょう。	Sukurkite kompiuterį, kuris yra unikalus jūsų.	قم ببناء جهاز كمبيوتر خاص بك بشكل فريد.	Бірегей сіздікі ДК құрастырыңыз.	Bygg en PC som er unikt din.	Bumuo ng PC na natatangi sa iyo.	एक ऐसा पीसी बनाएं जो विशिष्ट रूप से आपका हो।	สร้างพีซีที่มีเอกลักษณ์เฉพาะตัวคุณ	Rakitlah PC yang unik milik Anda.	შექმენით კომპიუტერი, რომელიც ცალსახად თქვენია.	Izveidojiet datoru, kas ir unikāls jums.	Xây dựng một chiếc PC dành riêng cho bạn.	Κατασκευάστε έναν υπολογιστή που είναι αποκλειστικά δικός σας.	Стварыце ПК, які належыць толькі вам.	Zostavte si počítač, ktorý je jedinečne váš.	Bygg en PC som är unikt din.	یک رایانه شخصی بسازید که منحصراً مال شما باشد.
Stand Monitor	Floor-standing monitor	Padlón álló monitor	Staande monitor	Monitor de suelo	Monitor de pe podea	Monitor stojący na podłodze	Monitor stojící na podlaze	Podni monitor	Monitor de chão	Monitor de chão	Põrandal seisev monitor	Moniteur sur pied	Moniteur sur pied	플로어 스탠딩 모니터	落地式显示器	落地式顯示器	Подни монитор	Напольный монитор	Yerde duran monitör	Lattialla seisova näyttö	Подов монитор	Підлоговий монітор	Standmonitor	Monitor de terra	Monitor da terra	フロアスタンド型モニター	Ant grindų statomas monitorius	شاشة مراقبة أرضية	Едендік монитор	Gulvstående monitor	Monitor na nakatayo sa sahig	फ़्लोर-स्टैंडिंग मॉनिटर	จอภาพแบบตั้งพื้น	Monitor yang berdiri di lantai	იატაკის მონიტორი	Grīdas monitors	Màn hình đặt sàn	Επιδαπέδια οθόνη	Падлогавы манітор	Monitor stojaci na podlahe	Golvstående monitor	مانیتور روی زمین
